failure_penalty,rank,record_id,material_id,failure_label,true_success,predicted_value,uncertainty,failure_risk,failure_aware_score
2.0,12,552,co_on_cu111,success,1,0.0,0.0,0.01596122788067289,0.03192245576134578
2.0,13,223,bulk_fe,success,1,0.0,0.0,0.01830583512292039,0.03661167024584078
2.0,14,203,bulk_fe,success,1,0.0,0.0,0.01830583512292039,0.03661167024584078
2.0,15,201,bulk_fe,success,1,0.0,0.0,0.01830583512292039,0.03661167024584078
2.0,16,207,bulk_fe,success,1,0.0,0.0,0.01830583512292039,0.03661167024584078
2.0,17,202,bulk_fe,success,1,0.0,0.0,0.01830583512292039,0.03661167024584078
2.0,18,739,h2o_generated,success,1,0.0,0.0,0.025920090212289915,0.05184018042457983
2.0,19,370,bulk_nacoo2,success,1,0.0,0.0,0.03962372494413746,0.07924744988827492
2.0,20,539,co,success,1,0.0,0.0,0.042681361674308915,0.08536272334861783
2.0,21,871,n2,success,1,0.0,0.0,0.04331880958424161,0.08663761916848323
2.0,22,455,bulk_si_generated,success,1,0.0,0.0,0.051527093262967005,0.10305418652593401
2.0,23,450,bulk_si_generated,success,1,0.0,0.0,0.051527093262967005,0.10305418652593401
2.0,24,454,bulk_si_generated,success,1,0.0,0.0,0.051527093262967005,0.10305418652593401
2.0,25,708,graphene_generated,success,1,0.0,0.0,0.0780809524861309,0.1561619049722618
2.0,26,735,h2o,success,1,0.0,0.0,0.113800607994329,0.227601215988658
2.0,27,235,bulk_ge,success,1,0.0,0.0,0.15964661901142174,0.3192932380228435
2.0,28,895,o_on_ni111,success,1,0.0,0.0,0.25531463479255956,0.5106292695851191
2.0,29,963,o_on_ni111,scf_not_converged,0,0.0,0.0,0.25531463479255956,0.5106292695851191
2.0,30,958,o_on_ni111,success,1,0.0,0.0,0.25531463479255956,0.5106292695851191
2.0,31,776,h_on_pt111,success,1,0.0,0.0,0.2585982011743957,0.5171964023487914
2.0,32,749,h_on_cu111,success,1,0.0,0.0,0.2657347490963564,0.5314694981927128
2.0,33,754,h_on_cu111,success,1,0.0,0.0,0.2657347490963564,0.5314694981927128
2.0,34,715,h2_generated,success,1,0.0,0.0,0.3522690718267244,0.7045381436534488
2.0,35,716,h2_generated,success,1,0.0,0.0,0.3522690718267244,0.7045381436534488
2.0,36,719,h2_generated,success,1,0.0,0.0,0.3522690718267244,0.7045381436534488
2.0,37,510,ch4,job_not_completed,0,0.0,0.0,0.7224495967403417,1.4448991934806834
2.0,38,509,ch4,job_not_completed,0,0.0,0.0,0.7224495967403417,1.4448991934806834
